,model_name,rmse,created_at,params,train_size,features,git_commit
10,LGBM optuna 8,0.7167746244035045,2020-06-23 22:10:00,"{'feature_fraction': 0.6263688058098045, 'bagging_fraction': 0.46449417045091007, 'n_estimators': 6000, 'learning_rate': 0.04397921482869098, 'objective': 'poisson', 'early_stopping_rounds': 100, 'lambda_l1': 1, 'early_stopping_at': 3527}",3000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, std_last_21, max_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, state_average_last_7, state_average_last_21, weekday_last_1, weekday_last_2, weekday_last_8",4b37343
11,LGBM optuna 8,0.7168232346501592,2020-06-23 21:16:00,"{'feature_fraction': 0.5316915130617045, 'bagging_fraction': 0.43544765662128243, 'n_estimators': 6000, 'learning_rate': 0.03695697427254262, 'objective': 'tweedie', 'early_stopping_rounds': 100, 'lambda_l1': 1, 'early_stopping_at': 1587}",3000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, std_last_21, max_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, state_average_last_7, state_average_last_21, weekday_last_1, weekday_last_2, weekday_last_8",4b37343
12,LGBM optuna 8,0.7169876574659955,2020-06-23 21:55:00,"{'feature_fraction': 0.48694436959161236, 'bagging_fraction': 0.4232946984335187, 'n_estimators': 6000, 'learning_rate': 0.04308617109555885, 'objective': 'tweedie', 'early_stopping_rounds': 100, 'lambda_l1': 1, 'early_stopping_at': 588}",3000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, std_last_21, max_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, state_average_last_7, state_average_last_21, weekday_last_1, weekday_last_2, weekday_last_8",4b37343
13,LGBM optuna 8,0.7171265144276363,2020-06-23 17:31:00,"{'feature_fraction': 0.4218456290484154, 'bagging_fraction': 0.477989536221851, 'n_estimators': 6000, 'learning_rate': 0.012740090006702467, 'objective': 'tweedie', 'early_stopping_rounds': 100, 'lambda_l1': 1, 'early_stopping_at': 2460}",3000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, std_last_21, max_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, state_average_last_7, state_average_last_21, weekday_last_1, weekday_last_2, weekday_last_8",4b37343
14,LGBM optuna 8,0.7171365312342317,2020-06-23 21:41:00,"{'feature_fraction': 0.7378317036093557, 'bagging_fraction': 0.43921988505787696, 'n_estimators': 9000, 'learning_rate': 0.025150249230507096, 'objective': 'tweedie', 'early_stopping_rounds': 100, 'lambda_l1': 1, 'early_stopping_at': 1277}",3000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, std_last_21, max_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, state_average_last_7, state_average_last_21, weekday_last_1, weekday_last_2, weekday_last_8",4b37343
15,LGBM_cat,0.7171606469813016,2020-06-23 15:17:00,"{'feature_fraction': 0.58, 'bagging_fraction': 0.47, 'n_estimators': 4000, 'learning_rate': 0.0285, 'objective': 'tweedie', 'early_stopping_rounds': 100, 'min_child_samples': 5}",2000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, std_last_21, max_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, state_average_last_7, state_average_last_21, weekday_last_1, weekday_last_2, weekday_last_8, cum_mse",8ffe31d
16,LGBM optuna 8,0.7173563185287759,2020-06-23 22:41:00,"{'feature_fraction': 0.43895326557745407, 'bagging_fraction': 0.4435933857606363, 'n_estimators': 6000, 'learning_rate': 0.04432528868423032, 'objective': 'tweedie', 'early_stopping_rounds': 100, 'lambda_l1': 1, 'early_stopping_at': 1214}",3000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, std_last_21, max_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, state_average_last_7, state_average_last_21, weekday_last_1, weekday_last_2, weekday_last_8",4b37343
17,LGBM optuna 8,0.7173873704341956,2020-06-23 21:47:00,"{'feature_fraction': 0.5960524284423495, 'bagging_fraction': 0.5328432701422713, 'n_estimators': 3000, 'learning_rate': 0.03679061251943906, 'objective': 'tweedie', 'early_stopping_rounds': 100, 'lambda_l1': 0, 'early_stopping_at': 1583}",3000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, std_last_21, max_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, state_average_last_7, state_average_last_21, weekday_last_1, weekday_last_2, weekday_last_8",4b37343
18,LGBM optuna 8,0.7174593576160646,2020-06-23 22:54:00,"{'feature_fraction': 0.6436969348718788, 'bagging_fraction': 0.4717652709492389, 'n_estimators': 3000, 'learning_rate': 0.04710523772714132, 'objective': 'tweedie', 'early_stopping_rounds': 100, 'lambda_l1': 1, 'early_stopping_at': 876}",3000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, std_last_21, max_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, state_average_last_7, state_average_last_21, weekday_last_1, weekday_last_2, weekday_last_8",4b37343
19,LGBM_diff,0.7174610646728654,2020-06-23 15:34:00,"{'feature_fraction': 0.4827903694720314, 'bagging_fraction': 0.572260424947954, 'n_estimators': 9000, 'learning_rate': 0.12602389742331246, 'objective': 'tweedie', 'early_stopping_rounds': 100, 'lambda_l1': 1}",2000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, std_last_21, max_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, state_average_last_7, state_average_last_21, weekday_last_1, weekday_last_2, weekday_last_8",991406d
20,LGBM optuna 8,0.717530737157672,2020-06-23 18:50:00,"{'feature_fraction': 0.5623979678188065, 'bagging_fraction': 0.47908482281994047, 'n_estimators': 6000, 'learning_rate': 0.023870195378301498, 'objective': 'tweedie', 'early_stopping_rounds': 100, 'lambda_l1': 1, 'early_stopping_at': 1408}",3000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, std_last_21, max_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, state_average_last_7, state_average_last_21, weekday_last_1, weekday_last_2, weekday_last_8",4b37343
21,LGBM optuna 8,0.7175548159711895,2020-06-23 22:18:00,"{'feature_fraction': 0.786727684103398, 'bagging_fraction': 0.465975360037351, 'n_estimators': 1000, 'learning_rate': 0.04569627873621608, 'objective': 'tweedie', 'early_stopping_rounds': 100, 'lambda_l1': 1, 'early_stopping_at': 746}",3000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, std_last_21, max_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, state_average_last_7, state_average_last_21, weekday_last_1, weekday_last_2, weekday_last_8",4b37343
22,LGBM optuna 8,0.7178095489288622,2020-06-23 17:23:00,"{'feature_fraction': 0.39589936553943716, 'bagging_fraction': 0.5753816191543136, 'n_estimators': 6000, 'learning_rate': 0.036373042650172875, 'objective': 'tweedie', 'early_stopping_rounds': 100, 'lambda_l1': 1, 'early_stopping_at': 654}",3000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, std_last_21, max_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, state_average_last_7, state_average_last_21, weekday_last_1, weekday_last_2, weekday_last_8",4b37343
23,LGBM optuna 8,0.7178355271017781,2020-06-23 21:31:00,"{'feature_fraction': 0.6590973144545436, 'bagging_fraction': 0.5582100526903885, 'n_estimators': 6000, 'learning_rate': 0.04589277157785928, 'objective': 'tweedie', 'early_stopping_rounds': 100, 'lambda_l1': 1, 'early_stopping_at': 727}",3000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, std_last_21, max_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, state_average_last_7, state_average_last_21, weekday_last_1, weekday_last_2, weekday_last_8",4b37343
24,LGBM optuna 8,0.7178715983854566,2020-06-23 20:27:00,"{'feature_fraction': 0.6899799991613422, 'bagging_fraction': 0.5472946959235053, 'n_estimators': 6000, 'learning_rate': 0.012142734692000424, 'objective': 'tweedie', 'early_stopping_rounds': 100, 'lambda_l1': 0, 'early_stopping_at': 3487}",3000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, std_last_21, max_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, state_average_last_7, state_average_last_21, weekday_last_1, weekday_last_2, weekday_last_8",4b37343
25,LGBM optuna 8,0.718062155953044,2020-06-23 22:36:00,"{'feature_fraction': 0.4660487299945499, 'bagging_fraction': 0.4188761065074806, 'n_estimators': 6000, 'learning_rate': 0.04808305634604395, 'objective': 'tweedie', 'early_stopping_rounds': 100, 'lambda_l1': 1, 'early_stopping_at': 795}",3000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, std_last_21, max_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, state_average_last_7, state_average_last_21, weekday_last_1, weekday_last_2, weekday_last_8",4b37343
26,LGBM optuna 8,0.7180654276430591,2020-06-23 20:04:00,"{'feature_fraction': 0.48374380224562286, 'bagging_fraction': 0.43107966251396496, 'n_estimators': 6000, 'learning_rate': 0.02672794686820458, 'objective': 'tweedie', 'early_stopping_rounds': 100, 'lambda_l1': 1, 'early_stopping_at': 1464}",3000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, std_last_21, max_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, state_average_last_7, state_average_last_21, weekday_last_1, weekday_last_2, weekday_last_8",4b37343
27,LGBM optuna 8,0.7181658267261337,2020-06-23 18:07:00,"{'feature_fraction': 0.6634401403237044, 'bagging_fraction': 0.6809465586871819, 'n_estimators': 3000, 'learning_rate': 0.028667720135128118, 'objective': 'tweedie', 'early_stopping_rounds': 100, 'lambda_l1': 0, 'early_stopping_at': 1484}",3000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, std_last_21, max_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, state_average_last_7, state_average_last_21, weekday_last_1, weekday_last_2, weekday_last_8",4b37343
