,model_name,rmse,created_at,params,train_size,features,git_commit
10,LGBM optuna 7,0.7321162966344598,2020-06-23 05:21:00,"{'feature_fraction': 0.43250305019125174, 'bagging_fraction': 0.5879043221161957, 'n_estimators': 9000, 'learning_rate': 0.16713900153826294, 'objective': 'tweedie', 'early_stopping_rounds': 100, 'lambda_l1': 1}",9000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, min_last_21, std_last_21, max_last_42, min_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, cum_mse",b1f73f2
11,LGBM optuna 7,0.732101590970711,2020-06-23 05:01:00,"{'feature_fraction': 0.6040585672676538, 'bagging_fraction': 0.6232667332979364, 'n_estimators': 1000, 'learning_rate': 0.02300648020907798, 'objective': 'tweedie', 'early_stopping_rounds': 100, 'lambda_l1': 0}",9000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, min_last_21, std_last_21, max_last_42, min_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, cum_mse",b1f73f2
12,LGBM optuna 7,0.7319447990145446,2020-06-23 07:39:00,"{'feature_fraction': 0.4013955059856316, 'bagging_fraction': 0.5563650529125224, 'n_estimators': 1000, 'learning_rate': 0.16165755545185664, 'objective': 'poisson', 'early_stopping_rounds': 100, 'lambda_l1': 1}",9000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, min_last_21, std_last_21, max_last_42, min_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, cum_mse",b1f73f2
13,LGBM optuna 7,0.7318994039597049,2020-06-23 04:55:00,"{'feature_fraction': 0.48120914472103693, 'bagging_fraction': 0.683683298657483, 'n_estimators': 1000, 'learning_rate': 0.11172573380275659, 'objective': 'tweedie', 'early_stopping_rounds': 100, 'lambda_l1': 0}",9000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, min_last_21, std_last_21, max_last_42, min_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, cum_mse",b1f73f2
14,LGBM optuna 7,0.7318635924534564,2020-06-23 05:52:00,"{'feature_fraction': 0.38852429636438535, 'bagging_fraction': 0.5726971635074526, 'n_estimators': 9000, 'learning_rate': 0.1661003971878934, 'objective': 'tweedie', 'early_stopping_rounds': 100, 'lambda_l1': 0}",9000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, min_last_21, std_last_21, max_last_42, min_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, cum_mse",b1f73f2
15,LGBM optuna 3,0.7317996755792744,2020-06-23 03:28:00,"{'feature_fraction': 0.6308580322447646, 'bagging_fraction': 0.5912752240345228, 'n_estimators': 3500, 'learning_rate': 0.11512803358761335, 'objective': 'tweedie', 'early_stopping_rounds': 100, 'lambda_l1': 1, 'min_child_samples': 5, 'train_size': 9000000}",9000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, min_last_21, std_last_21, max_last_42, min_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, cum_mse",b1f73f2
16,LGBM optuna 7,0.7317718699437157,2020-06-23 08:54:00,"{'feature_fraction': 0.3372773101875905, 'bagging_fraction': 0.4735529839370879, 'n_estimators': 9000, 'learning_rate': 0.16316989359356943, 'objective': 'tweedie', 'early_stopping_rounds': 100, 'lambda_l1': 1}",9000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, min_last_21, std_last_21, max_last_42, min_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, cum_mse",b1f73f2
17,LGBM optuna 3,0.73154080684196,2020-06-23 02:15:00,"{'feature_fraction': 0.5774793430392922, 'bagging_fraction': 0.5354081412960423, 'n_estimators': 3500, 'learning_rate': 0.2564474147804914, 'objective': 'tweedie', 'early_stopping_rounds': 100, 'lambda_l1': 0, 'min_child_samples': 25, 'train_size': 9000000}",9000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, min_last_21, std_last_21, max_last_42, min_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, cum_mse",b1f73f2
18,LGBM optuna 7,0.7314418922766138,2020-06-23 06:13:00,"{'feature_fraction': 0.32361661801593167, 'bagging_fraction': 0.5703088440017852, 'n_estimators': 9000, 'learning_rate': 0.05126334692595523, 'objective': 'tweedie', 'early_stopping_rounds': 100, 'lambda_l1': 0}",9000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, min_last_21, std_last_21, max_last_42, min_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, cum_mse",b1f73f2
19,LGBM optuna 7,0.7314185196244083,2020-06-23 07:25:00,"{'feature_fraction': 0.6315434955250674, 'bagging_fraction': 0.5607546121313474, 'n_estimators': 1000, 'learning_rate': 0.1971894987536092, 'objective': 'tweedie', 'early_stopping_rounds': 100, 'lambda_l1': 0}",9000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, min_last_21, std_last_21, max_last_42, min_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, cum_mse",b1f73f2
20,LGBM optuna 7,0.7313642700331915,2020-06-23 05:42:00,"{'feature_fraction': 0.4708287067952209, 'bagging_fraction': 0.6232311977173131, 'n_estimators': 9000, 'learning_rate': 0.09551032238690252, 'objective': 'tweedie', 'early_stopping_rounds': 100, 'lambda_l1': 0}",9000000,"wday, store_id, dept_id, state_id, snap_status, days_since_snap, avg_last_1, avg_last_3, avg_last_7, avg_last_21, max_last_21, min_last_21, std_last_21, max_last_42, min_last_42, avg_last_42, relative_median, wa_adjusted_quantity_last_7, sinf_relative_median, sinf_adjusted_quantity_last_7, price_change_w1, price_change_w3, cum_mse",b1f73f2
