iter	Passed	Remaining
423	2318	3149
424	2322	3142
425	2326	3134
426	2331	3128
427	2335	3121
428	2340	3115
429	2345	3108
430	2350	3102
431	2355	3097
432	2361	3092
433	2365	3084
434	2372	3081
435	2378	3076
436	2383	3070
437	2387	3062
438	2393	3058
439	2398	3052
440	2402	3045
441	2409	3041
442	2413	3034
443	2422	3033
444	2431	3032
445	2438	3029
446	2444	3023
447	2448	3017
448	2455	3013
449	2460	3007
450	2465	3001
451	2470	2995
452	2475	2989
453	2479	2982
454	2485	2976
455	2488	2969
456	2493	2962
457	2497	2955
458	2501	2947
459	2505	2941
460	2510	2935
461	2514	2928
462	2519	2922
463	2524	2916
464	2528	2908
465	2531	2901
466	2534	2893
467	2538	2885
468	2541	2877
469	2545	2870
470	2549	2863
471	2554	2857
472	2559	2851
473	2562	2843
474	2570	2841
475	2575	2834
476	2579	2828
477	2586	2825
478	2591	2818
479	2596	2813
480	2600	2806
481	2607	2802
482	2612	2796
483	2620	2793
484	2627	2789
485	2631	2783
486	2635	2776
487	2641	2771
488	2645	2764
489	2649	2757
490	2653	2750
491	2656	2743
492	2662	2738
493	2667	2732
494	2671	2724
495	2674	2717
496	2681	2714
497	2685	2707
498	2689	2700
499	2693	2693
500	2696	2685
501	2700	2679
502	2706	2673
503	2711	2668
504	2716	2662
505	2721	2656
506	2726	2651
507	2729	2643
508	2732	2636
509	2737	2630
510	2743	2625
511	2748	2619
512	2752	2613
513	2758	2608
514	2761	2600
515	2766	2594
516	2775	2592
517	2785	2591
518	2797	2592
519	2806	2590
520	2816	2589
521	2825	2587
522	2835	2586
523	2847	2586
524	2852	2580
525	2859	2576
526	2864	2570
527	2868	2564
528	2873	2558
529	2877	2551
530	2881	2545
531	2885	2538
532	2890	2532
533	2894	2525
534	2897	2518
535	2900	2511
536	2904	2504
537	2908	2497
538	2912	2491
539	2916	2484
540	2921	2478
541	2926	2473
542	2931	2467
543	2934	2460
544	2940	2454
545	2943	2447
546	2947	2440
547	2952	2435
548	2956	2429
549	2960	2421
550	2969	2419
551	2977	2416
552	2982	2411
553	2987	2405
554	2993	2400
555	2998	2394
556	3005	2390
557	3009	2384
558	3017	2380
559	3022	2375
560	3027	2369
561	3032	2363
562	3040	2359
563	3045	2354
564	3049	2348
565	3055	2342
566	3060	2337
567	3064	2330
568	3070	2325
569	3075	2319
570	3078	2313
571	3085	2308
572	3089	2302
573	3093	2295
574	3100	2291
575	3104	2284
576	3107	2278
577	3110	2271
578	3114	2264
579	3117	2257
580	3122	2252
581	3127	2246
582	3132	2240
583	3136	2233
584	3139	2227
585	3143	2220
586	3146	2214
587	3150	2207
588	3154	2201
589	3159	2195
590	3168	2192
591	3171	2185
592	3174	2178
593	3180	2173
594	3184	2167
595	3190	2162
596	3193	2155
597	3199	2150
598	3206	2146
599	3216	2144
600	3223	2140
601	3229	2134
602	3233	2128
603	3238	2123
604	3242	2116
605	3248	2111
606	3251	2105
607	3256	2099
608	3264	2095
609	3268	2089
610	3276	2086
611	3281	2080
612	3287	2075
613	3292	2070
614	3299	2065
615	3305	2060
616	3310	2054
617	3314	2048
618	3318	2042
619	3323	2036
620	3327	2030
621	3332	2025
622	3337	2019
623	3341	2013
624	3345	2007
625	3351	2002
626	3356	1996
627	3365	1993
628	3375	1990
629	3384	1987
630	3394	1985
631	3403	1981
632	3412	1978
633	3419	1974
634	3430	1971
635	3439	1968
636	3449	1965
637	3456	1961
638	3467	1958
639	3476	1955
640	3483	1951
641	3493	1948
642	3501	1943
643	3509	1939
644	3517	1936
645	3526	1932
646	3536	1929
647	3544	1925
648	3555	1922
649	3563	1918
650	3572	1915
651	3575	1908
652	3580	1902
653	3585	1896
654	3593	1892
655	3598	1887
656	3605	1882
657	3608	1875
658	3613	1869
659	3619	1864
660	3628	1860
661	3636	1856
662	3643	1852
663	3651	1847
664	3659	1843
665	3664	1837
666	3669	1831
667	3674	1826
668	3679	1820
669	3684	1814
670	3689	1808
671	3692	1802
672	3696	1795
673	3700	1789
674	3704	1783
675	3708	1777
676	3712	1771
677	3718	1765
678	3721	1759
679	3726	1753
680	3729	1747
681	3733	1740
682	3737	1734
683	3742	1728
684	3746	1722
685	3751	1716
686	3755	1710
687	3761	1705
688	3768	1701
689	3774	1695
690	3779	1689
691	3782	1683
692	3789	1678
693	3792	1672
694	3796	1665
695	3803	1661
696	3807	1655
697	3814	1650
698	3818	1644
699	3824	1638
700	3827	1632
701	3835	1628
702	3839	1621
703	3843	1615
704	3849	1610
705	3852	1604
706	3858	1599
707	3862	1592
708	3867	1587
709	3870	1581
710	3876	1575
711	3879	1569
712	3885	1563
713	3890	1558
714	3895	1552
715	3900	1546
716	3904	1541
717	3908	1535
718	3914	1529
719	3918	1523
720	3921	1517
721	3926	1511
722	3930	1505
723	3935	1500
724	3938	1494
725	3943	1488
726	3948	1482
727	3954	1477
728	3963	1473
729	3966	1467
730	3971	1461
731	3976	1455
732	3981	1450
733	3987	1445
734	3991	1439
735	3996	1433
736	4001	1428
737	4008	1423
738	4013	1417
739	4019	1412
740	4023	1406
741	4027	1400
742	4032	1394
743	4037	1389
744	4041	1383
745	4046	1377
746	4050	1371
747	4054	1366
748	4059	1360
749	4064	1354
750	4070	1349
751	4076	1344
752	4081	1338
753	4086	1333
754	4090	1327
755	4095	1321
756	4100	1316
757	4105	1310
758	4111	1305
759	4116	1299
760	4120	1294
761	4125	1288
762	4129	1282
763	4133	1276
764	4138	1271
765	4144	1266
766	4149	1260
767	4155	1255
768	4164	1250
769	4170	1245
770	4176	1240
771	4180	1234
772	4185	1229
773	4190	1223
774	4197	1218
775	4200	1212
776	4208	1207
777	4213	1202
778	4218	1196
779	4223	1191
780	4228	1185
781	4232	1179
782	4236	1174
783	4242	1168
784	4247	1163
785	4252	1157
786	4256	1151
787	4260	1146
788	4265	1140
789	4270	1135
790	4274	1129
791	4278	1123
792	4283	1118
793	4292	1113
794	4301	1109
795	4311	1104
796	4318	1099
797	4322	1094
798	4325	1088
799	4330	1082
800	4334	1076
801	4337	1070
802	4342	1065
803	4346	1059
804	4350	1053
805	4354	1048
806	4358	1042
807	4367	1037
808	4375	1033
809	4379	1027
810	4386	1022
811	4390	1016
812	4396	1011
813	4401	1005
814	4408	1000
815	4412	994
816	4418	989
817	4422	983
818	4426	978
819	4433	973
820	4437	967
821	4444	962
822	4449	956
823	4454	951
824	4458	945
825	4463	940
826	4469	934
827	4474	929
828	4479	923
829	4483	918
830	4487	912
831	4492	907
832	4498	901
833	4502	896
834	4506	890
835	4509	884
836	4514	879
837	4518	873
838	4523	868
839	4527	862
840	4531	856
841	4534	850
842	4539	845
843	4544	839
844	4547	834
845	4553	828
846	4558	823
847	4566	818
848	4570	812
849	4574	807
850	4579	801
851	4584	796
852	4591	791
853	4597	786
854	4603	780
855	4608	775
856	4614	769
857	4617	764
858	4623	758
859	4629	753
860	4633	748
861	4638	742
862	4643	737
863	4648	731
864	4651	725
865	4657	720
866	4662	715
867	4666	709
868	4671	704
869	4675	698
870	4680	693
871	4689	688
872	4693	682
873	4697	677
874	4702	671
875	4706	666
876	4710	660
877	4714	655
878	4718	649
879	4722	644
880	4727	638
881	4732	633
882	4735	627
883	4741	622
884	4745	616
885	4750	611
886	4755	605
887	4759	600
888	4766	595
889	4772	589
890	4776	584
891	4781	578
892	4787	573
893	4794	568
894	4799	563
895	4805	557
896	4810	552
897	4818	547
898	4822	541
899	4829	536
900	4834	531
901	4839	525
902	4843	520
903	4849	514
904	4854	509
905	4861	504
906	4866	498
907	4869	493
908	4875	488
909	4878	482
910	4883	477
911	4889	471
912	4894	466
913	4898	460
914	4903	455
915	4907	450
916	4911	444
917	4917	439
918	4922	433
919	4926	428
920	4933	423
921	4937	417
922	4942	412
923	4947	406
924	4952	401
925	4957	396
926	4961	390
927	4971	385
928	4977	380
929	4981	374
930	4986	369
931	4991	364
932	4994	358
933	5001	353
934	5005	347
935	5012	342
936	5018	337
937	5023	332
938	5028	326
939	5035	321
940	5040	316
941	5047	310
942	5051	305
943	5057	300
944	5062	294
945	5065	289
946	5071	283
947	5074	278
948	5078	272
949	5084	267
950	5088	262
951	5091	256
952	5097	251
953	5102	246
954	5106	240
955	5112	235
956	5118	230
957	5123	224
958	5128	219
959	5133	213
960	5137	208
961	5140	203
962	5144	197
963	5148	192
964	5152	186
965	5158	181
966	5161	176
967	5165	170
968	5173	165
969	5179	160
970	5184	154
971	5187	149
972	5194	144
973	5198	138
974	5205	133
975	5209	128
976	5216	122
977	5219	117
978	5226	112
979	5231	106
980	5236	101
981	5240	96
982	5244	90
983	5250	85
984	5253	80
985	5259	74
986	5265	69
987	5270	64
988	5276	58
989	5281	53
990	5285	47
991	5288	42
992	5292	37
993	5297	31
994	5302	26
995	5307	21
996	5310	15
997	5314	10
998	5318	5
999	5323	0
